Short Name,Long Name,Created (if after 1/1/18),Last Updated  (if after 1/1/18)
mhm,McGraw-Hill Medical,-,-
media,Media Cite de la Musique,-,-
mediapart,Mediapart,-,-
metapress,Metapress,-,-
msj,Microbiology Society Journals,2/8/18,2/8/18
mm,Ministry Matters,6/29/18,6/29/18
MIT,MIT Press,1/16/19,1/16/19
numir,Monographies Numérisées des bibliothèques Mathématiques Informatique Recherche des Universités Paris Diderot et Pierre et Marie Curie,-,-
mycow,My Cow,-,-
ncbi,National Center for Biotechnology Information,-,-
npg,Nature Publishing Group,-,6/4/18
naxos,Naxos,9/3/19,9/3/19
nber,NBER,-,9/3/19
nejm,NEJM - New England Journal of Medicine,-,-
jwatch,NEJM Journal Watch,8/13/19,8/13/19
nrc,New Research Press,-,-
npa,Newspaper Archive,2/23/19,2/23/19
nexisuni,Nexis Uni,1/4/18,1/4/18
numerique-premium,Numerique Premium,-,-
eth,Obeikan Digital Library,-,-
oecd,OECD iLibrary,1/5/18,1/5/18
oxoeb,"Online Egyptological Bibliography, University of Oxford",-,-
openaire,OpenAIRE - Archives Ouvertes,-,-
oeb,OpenEdition Books,-,-
oej,OpenEdition Journals,-,-
osa,OpticsInfoBase,-,-
ovid,Ovid,-,-
oao,Oxford Art Online,-,-
ohb,Oxford Handbooks,-,-
oso,Oxford Scholarship Online,-,-
oup,Oxford University Press,8/13/19,8/13/19
ovsi,Oxford Very Short Introductions,-,-
palgrave-connect,Palgrave Connect,-,-
palgrave-journals,Palgrave Journals,-,-
palgrave-macmillan,Palgrave Macmillan,9/19/18,4/22/19
persee,Persée,-,-
pm,PolicyMap,-,-
pr,PressReader,6/26/18,6/26/18
pe,Project Euclid,-,-
muse,Project MUSE,6/20/18,6/20/18
proquest,Proquest,6/14/19,6/14/19
PO,PsychiatryOnline,-,-
publienet,Publie.net,-,-
reaxys,Reaxys,-,4/11/19
rta,Religion and Theology Abstracts,6/25/18,6/25/18
rn,Retronews,-,-
rosend,Rosen Digital,-,-
rho,Routledge Handbooks Online,-,4/24/19
rsc,Royal Society of Chemistry,-,5/23/18
sagaweb,Sagaweb,-,-
sagej,Sage Journals,-,-
sk,SAGE Knowledge,9/3/19,9/3/19
srmo,Sage Research Methods Online,-,-
sd,Science Direct,-,-
sam,Sciences Arts et Métiers ParisTech : Archive Ouverte,-,-
scientific,Scientific,-,-
sciam,Scientific American,-,-
cas,SciFinder / Chemical Abstracts,-,-
scopus,Scopus,6/4/19,6/4/19
siam,SIAM,-,8/1/19
silverchair,Silverchair,-,6/14/19
se,Social Explorer,2/23/18,2/23/18
scf,Societe Chimique de France,-,-
smf,Société Mathématique de France,-,-
seg,Society of Exploration Geophysicists,-,-
socio,Sociometrics,9/3/19,9/3/19
springer,Springer,-,-
springer-materials,SpringerMaterials,-,-
springer-protocols,SpringerProtocols,-,-
statref,STAT!Ref,10/12/18,10/12/18
stat,Statista,4/16/18,4/16/18
strada,Strada Lex,-,-
swank,SWANK,6/13/18,6/13/18
tf,Taylor & Francis,-,-
tfe,Taylor & Francis eBooks,-,-
ti,Techniques de l'Ingénieur,-,-
tair,The Arabidopsis Information Resource,-,-
eco,The Economist Group,-,-
lancet,The Lancet,4/26/18,4/26/18
tlg,Thesaurus Linguae Graecae,6/29/18,6/29/18
thieme,Thieme,4/12/18,4/12/18
westlaw,Thomson Reuters Westlaw,9/4/19,9/4/19
tp,Transplantation Proceedings,5/23/18,5/23/18
unbound,Unbound Medicine,5/20/18,5/20/18
uic,Underground and Independant Comics,-,-
ucj,University of Chicago Journals,-,-
upso,University Press Scholarship Online,-,-
vault,Vault Campus Edition,5/20/18,5/20/18
vn,Vocable Numérique,-,-
wos,Web of Science,8/21/18,6/3/19
wf,Wetfeet,2/5/18,2/5/18
wiley,Wiley,-,5/11/18
worldbank,World Bank,6/4/19,6/14/19
wspc,World Scientific Publishing Company,-,-
worldcat,Worldcat,6/4/19,6/4/19
xerfi,Xerfi,-,-
zbmath,ZentralBlatt,-,-
